Title	URL	Assignees	Status	Estimated size	Real size	Labels
Chat Naming function	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/236	AbdulHaseeb-SE	Feature Archive	5	5	Backend, Frontend, medium priority
Rate Limiting on document upload	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/210	hasnatahmed331, MuhammadZeeshan2	Feature Archive	3		Backend, low priority
Scraping Research Papers	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/186	Hossam-Amer	Feature Archive	8	8	Backend, high priority
Fix: Authentication	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/208	AbdulHaseeb-SE	Feature Archive	3	3	Backend, Frontend, high priority
Connect Chat Screen with LLM Chat Agent	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/152	VogtIndustries	Feature Archive	3	3	Frontend, high priority
Fix: Retrieving the Knowledge Graph	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/73	AbdulHaseeb-SE, hasnatahmed331	Feature Archive	2	2	Backend, Frontend, high priority
Deploy Neo4j Graph Database	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/185	hasnatahmed331, MuhammadZeeshan2	Feature Archive	5	5	Backend, high priority
Deployment of Knowledge Graph Context Chat on Backend	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/179	AbdulHaseeb-SE, hasnatahmed331	Feature Archive	5	8	Backend, high priority
Integrate Camera Scanning	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/156	andrewluka	Feature Archive	5	5	Frontend, low priority
Password show/hide button	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/163	andrewluka	Feature Archive	1	1	Frontend, low priority
Knowledge Graph Context into LLM Prompts	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/75	AbdulHaseeb-SE, hasnatahmed331, Hossam-Amer	Feature Archive	8	8	Backend, medium priority
Deleting Chats	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/177	VogtIndustries	Feature Archive	3	3	Frontend, medium priority
Connect Voice Call Mode to Backend LLM	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/184		Feature Archive			Backend, Blocked, Frontend, medium priority
Show Sources and References in Chat Answers	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/195		Feature Archive			Frontend, low priority
Dictate Chat Function	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/116	hannes-v	Feature Archive	8	5	Frontend, medium priority
