Title	URL	Assignees	Status	Estimated size	Real size	Labels
Deploy Neo4j Graph Database	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/185	hasnatahmed331, MuhammadZeeshan2	Feature Archive	5	5	Backend, high priority
Deployment of Knowledge Graph Context Chat on Backend	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/179	AbdulHaseeb-SE, hasnatahmed331	Feature Archive	5	8	Backend, high priority
Integrate Camera Scanning	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/156	andrewluka	Feature Archive	5	5	Frontend, low priority
Password show/hide button	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/163	andrewluka	Feature Archive	1	1	Frontend, low priority
Knowledge Graph Context into LLM Prompts	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/75	AbdulHaseeb-SE, hasnatahmed331, Hossam-Amer	Feature Archive	8	8	Backend, medium priority
Deleting Chats	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/177	VogtIndustries	Feature Archive	3	3	Frontend, medium priority
Connect Voice Call Mode to Backend LLM	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/184		Feature Archive			Backend, Blocked, Frontend, medium priority
Show Sources and References in Chat Answers	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/195		Feature Archive			Frontend, low priority
Dictate Chat Function	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/116	hannes-v	Feature Archive	8	5	Frontend, medium priority
Chat Agent User History	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/167	hasnatahmed331, MuhammadZeeshan2	Feature Archive	3	3	Backend, high priority
Update Neo4j / GCP License for Knowledge Extraction	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/178		Feature Archive	1		Backend, high priority
User Guide for Visualising Knowledge Graphs using Neo4j	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/166		Feature Archive			Frontend, low priority
Componentisation - Technical Debt - Beautify	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/97	hannes-v	Feature Archive	5	5	Frontend, medium priority
Chat Database	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/162	hannes-v	Feature Archive	5	5	Frontend, urgent
Persistent Chat History 	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/146	hannes-v	Feature Archive	5	3	Frontend, high priority
Creating Chats	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/151	hannes-v	Feature Archive	1	3	Frontend, high priority
Preview of Uploaded Documents	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/12	VogtIndustries	Feature Archive	2	2	Frontend, low priority
Chat Overview	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/114	VogtIndustries	Feature Archive	3	1	Frontend, medium priority
Combining all document sub-graphs into one	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/126	hasnatahmed331	Feature Archive	5	5	Backend, high priority
Deploy user knowledge graph in backend	https://github.com/amosproj/amos2026ss03-ailixir-intelligence/issues/161	AbdulHaseeb-SE, hasnatahmed331	Feature Archive	3	3	Backend, high priority
